Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   6
2     0   0   0   0   0   0   0   0   4
3     0   0   0   0   0   0   0   0   5
4     0   0   0   0   0   0   0   0   5
5     0   0   0   0   0   0   0   0   7
6     0   0   0   0   0   6   0   0   6
7     0   0   0   0   0  17   0   0   9
8     0   0   0   0   0  32   0   0   8
9     0   0   0   0   0  78   0   0  16
10    0   0   0   0   0 180   0   0  24
11    0   0   0   0   0 180   0   0   0
12    0   0 180   0 180 180   0   0   0
13    0   0 180   0 180 180   0   0   0
14    0   0 180   0  93 180   0   0   0
15    0   0 180   0 168 180   0   0   0
16    0   0 180   0 180 180   0   0   0
17    0   0 163   0 163 163   0   0   0
18  180   0 180 180 180 180   0   0   0
19  180   0 180 180  46 180   0   0   0
20  180   0 151 180  73 180   0   0   0
21  180   0 163 180 115 180   0   0   0
22  180   0 180 180 180 180   0   0   0
23  180   0 180 180 180 180   0   0   0
24  180   0  54 180 180 180   0   0   0
25  180   0  83 180 180   0   0   0   0
26  180   0 141 180 180   0   0   0   0
27  180   0 164 143 180   0   0   0   0
28  180   0   0 180 180   0   0   0   0
29  180   0   0 180 180   0   0   0   0
