Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0   5
2     0   0   0   0   0   0   0   0   4
3     0   0   0   0   0   0   0   0   8
4     0   0   0   0   0   0   0   0  12
5     0   0   0   0   0   0   0   0  14
6     0   0   0   0  11   0   0   0  11
7     0   0   0   0  15   0   0   0  21
8     0   0   0   0  20   0   0   0  33
9     0   0   0   0  30   0   0   0  12
10    0   0   0   0  32   0   0   0  17
11    0   0   0   0  25  37   0   0  25
12    0   0   0  37  37  61   0   0  51
13    0   0   0  64  37 103   0   0  91
14    0   0   0  96  57  72   0   0   0
15    0   0   0 180  83 105   0   0   0
16    0   0   0 180 164  94   0   0   0
17    0   0   0 180 169 169   0   0   0
18  180   0   0 180 180 180   0   0   0
19  180   0   0 180   0 180   0   0   0
20  180   0   0 123   0 180   0   0   0
21  180   0   0   0   0 122   0   0   0
22  180   0   0   0 131 131   0   0   0
23  180   0   0   0 166 180   0   0   0
24  180   0   0   0 180 180   0   0   0
25  180   0   0   0 180   0   0   0   0
26  180   0   0   0 180   0   0   0   0
27  180   0   0   0  94   0   0   0   0
28  180   0   0   0 115   0   0   0   0
29  180   0   0   0 132   0   0   0   0
