Number of suppliers is 8

Time Manufacturer Suppliers 
t     0   1   2   3   4   5   6   7   8
0     0   0   0   0   0   0   0   0   5
1     0   0   0   0   0   0   0   0  11
2     0   0   0   0   0   0   0   0  23
3     0   0   0   0   0   0   0   0  49
4     0   0   0   0   0   0   0   0 102
5     0   0   0   0   0   0   0   0 180
6     0   0   0   0   0   0   0   0 180
7     0   0   0   0   0   0   0   0 180
8     0   0   0   0   0   0   0   0 180
9     0   0   0   0   0   0   0   0 180
10    0   0   0   0   0   0   0   0 180
11    0   0   0   0   0   0   0   0 166
12    0   0   0   0   0   0   0   0 180
13    0   0   0   0   0   0   0   0 180
14    0   0   0   0   0   0   0   0 180
15    0   0   0   0   0   0   0   0 180
16    0   0   0   0   0  90   0   0  90
17    0   0   0   0   0 139   0   0   0
18    0   0   0   0   0  98   0   0   0
19    0   0   0   0   0  89   0   0   0
20    0   0   0   0   0  41   0   0   0
21    0   0   0   0   0  10   0   0  16
22    0   0  16   0  16  16   0   0  42
23    0   0  18   0  18  19   0   0  49
24    0   0  40   0  27  16   0   0  55
25    0   0  41   0  13  29   0   0 174
26    0   0  73   0  20  31   0   0  55
27    0   0  55   0 101 101 101   0 114
28  101   0 180   0 180 162 120   0 180
29  101   0 180   0 180   0 180   0 180
